Address,Price,Parcel,Date
5207 Bliss St,155000,71034108219,2012-06-01
5207 Bliss St,192000,71034108219,2007-10-01
5225 Brandenburg Way,180000,71034107071,2007-07-01
5248 Brandenburg Way,193000,71034106106,2007-01-01
2317 Carling Dr,27000,60905214180,2012-11-01
1129 Erin St,195000,70927107031,2008-05-01
1129 Erin St,192000,70927107049,2008-05-01
58 Farwell St,185000,71006134292,2008-09-01
1801 Fisher St,165000,70926415336,2008-10-01
23 Freese Ct,148900,71034111048,2009-04-01
4723 Freese Ln,149000,71034109069,2014-04-01
4723 Freese Ln,140000,71034109069,2009-07-01
4831 Freese Ln,194000,71034109184,2007-11-01
4835 Freese Ln,190000,71034109192,2007-11-01
1134 Hackberry Ln,168000,70935206172,2010-08-01
3417 Harper Rd,165000,80935107147,2010-06-01
3417 Harper Rd,179000,80935107147,2006-03-01
3540 Home Ave,103000,81032434011,2007-08-01
3542 Home Ave,105000,81032434029,2007-05-01
1919 Huxley St,170000,81031231012,2008-08-01
1919 Huxley St,128000,81031231012,2004-01-01
2416 Independence Ln,87700,81028119734,2011-02-01
5 Kanazawa Cir,198000,71034101130,2007-05-01
9 Kanazawa Cir,204000,71034101148,2007-06-01
838 W Lakeside St,184000,70926202254,2009-03-01
100 Morningside Ave,147300,71016108229,2008-05-01
1101 Northland Dr,148015,80925214324,2011-06-01
1930 Shelley Ln,148900,81030205357,2013-09-01
1930 Shelley Ln,121900,81030205357,2002-04-01
2037 Sundstrom St,166000,70935113301,2013-05-01
1722 S Thompson Dr,162900,71014202346,2010-10-01
4619 Treichel St,188000,71034108061,2007-01-01
4626 Treichel St,176000,71034107138,2007-04-01
2917 Union St,148000,71005227121,2011-06-01
1933 Vondron Rd,170000,71015119160,2016-01-01
1933 Vondron Rd,185000,71015119160,2005-07-01
1047 E Wilson St,210000,70913401257,2009-07-01
211 Wyalusing Dr,161000,71001337023,2009-01-01
4317 Beilfuss Dr,203000,80926206156,2008-05-01
620 Christianson Ave,103000,81032429062,2007-08-01
5338 Congress Ave,133900,81023308027,2009-10-01
